PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,SEASON,PLAYER(season),TEAM(season),OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,Off_kmean,Def_kmean,Ovr_kmean
Robert Hite,MIA,23,12,1,11,52.2,19.6,7.3,23.1,31.7,1.9,8.8,21.7,3.1,4.6,66.7,1.5,4.6,6.2,3.1,2.3,1.2,0.8,3.1,35.1,0,0,-5.4,06-07,Robert Hite(06-07),MIA(06-07),96.2,101.1,-5.0,11.6,1.33,10.1,2.5,9.0,5.5,7.6,35.8,39.1,23.3,92.15,4.4,1,2,2
Delonte West,BOS,23,69,23,46,51.3,19.6,7.1,16.6,42.7,1.5,4.1,36.5,3.9,4.6,85.3,0.7,4.1,4.8,7.0,3.2,1.7,0.8,3.5,40.1,5,0,-6.0,06-07,Delonte West(06-07),BOS(06-07),101.1,106.7,-5.6,23.7,2.17,24.5,1.5,8.5,5.0,11.3,47.2,52.6,19.0,93.63,9.9,3,0,0
Dan Dickau,POR,28,50,21,29,52.1,19.5,6.3,17.7,35.8,1.9,7.2,26.2,4.9,6.2,79.2,0.8,4.2,5.0,8.2,3.2,1.6,0.1,6.4,39.9,0,0,5.9,06-07,Dan Dickau(06-07),POR(06-07),105.3,99.4,5.9,25.9,2.59,26.2,1.7,9.1,5.3,10.1,41.1,47.6,20.0,92.18,8.0,3,0,0
Amir Johnson,DET,20,8,3,5,51.3,19.4,7.4,13.6,54.5,0.0,1.2,0.0,4.5,5.8,78.6,6.2,9.1,15.3,1.2,3.7,2.1,5.4,7.9,58.2,2,0,0.0,06-07,Amir Johnson(06-07),DET(06-07),101.2,100.8,0.4,3.9,0.33,5.9,12.8,15.5,14.3,17.6,54.5,60.0,17.0,93.72,11.7,0,1,1
Justin Williams,SAC,23,26,7,19,49.4,19.4,8.0,13.0,61.4,0.0,0.1,0.0,3.4,9.3,36.5,7.6,9.5,17.0,0.3,2.2,0.7,2.4,7.6,47.4,2,0,-8.7,06-07,Justin Williams(06-07),SAC(06-07),104.4,112.4,-7.9,1.0,0.13,1.5,15.3,20.4,17.8,11.4,61.4,56.6,16.9,97.56,8.4,0,1,1
Rasual Butler,NOK,28,81,39,42,52.7,19.4,7.4,18.7,39.8,3.2,8.6,36.9,1.3,2.1,64.4,1.0,5.1,6.1,1.5,1.6,0.9,1.3,3.5,34.0,1,0,-2.3,06-07,Rasual Butler(06-07),NOK(06-07),100.5,103.0,-2.4,4.8,0.94,6.6,1.9,9.9,5.9,7.0,48.4,49.5,18.4,91.04,6.9,1,2,2
Mikki Moore,NJN,31,79,39,40,52.0,19.4,7.7,12.6,60.9,0.0,0.0,0.0,4.0,5.9,68.1,3.6,6.4,10.1,1.8,2.8,1.1,1.5,6.5,39.4,2,0,0.2,06-07,Mikki Moore(06-07),NJN(06-07),105.1,104.6,0.5,5.9,0.65,9.3,7.5,13.1,10.4,14.2,60.9,63.7,16.0,92.45,8.9,0,1,1
Sarunas Jasikevicius,GSW,31,63,30,33,48.8,19.4,6.4,16.2,39.8,2.2,6.5,33.8,4.3,4.8,90.5,0.8,2.7,3.5,8.6,4.5,1.3,0.1,3.8,36.0,0,0,-5.2,06-07,Sarunas Jasikevicius(06-07),GSW(06-07),96.9,102.8,-5.8,31.0,1.91,27.8,1.5,5.6,3.5,14.6,46.6,53.1,19.5,98.04,9.6,3,0,0
Lou Williams,PHI,20,61,23,38,50.8,19.4,6.9,15.6,44.1,0.9,2.7,32.4,4.7,6.8,69.6,1.3,3.9,5.2,8.1,3.4,1.6,0.1,3.1,39.4,0,0,2.8,06-07,Lou Williams(06-07),PHI(06-07),100.7,96.4,4.3,26.4,2.39,27.0,2.5,8.1,5.3,11.3,46.9,52.1,19.1,95.14,10.9,3,0,0
Matt Barnes,GSW,27,76,40,36,47.0,19.3,7.1,16.3,43.8,2.7,7.5,36.6,2.3,3.2,73.2,2.4,6.7,9.1,4.0,2.7,1.9,1.1,4.9,42.4,8,0,-0.6,06-07,Matt Barnes(06-07),GSW(06-07),105.5,105.7,-0.2,13.1,1.49,16.6,4.8,13.7,9.2,11.1,52.2,54.7,18.0,102.36,9.3,1,2,2
Raja Bell,PHX,30,78,59,19,49.3,19.3,6.9,16.1,43.2,3.5,8.4,41.3,2.0,2.6,77.6,0.8,3.4,4.2,3.3,1.4,0.8,0.4,3.9,31.6,1,0,8.6,06-07,Raja Bell(06-07),PHX(06-07),112.6,103.6,8.9,9.4,2.36,15.1,1.8,6.7,4.4,6.4,53.9,56.2,16.8,97.49,6.9,1,2,2
Rodney Carney,PHI,23,67,24,43,51.1,19.3,8.0,17.1,46.4,1.1,3.1,34.7,2.3,3.8,60.9,1.7,3.9,5.6,1.1,1.9,1.7,1.0,5.2,33.8,0,0,-5.5,06-07,Rodney Carney(06-07),PHI(06-07),100.1,104.9,-4.7,3.7,0.6,5.2,3.6,8.0,5.8,8.6,49.6,51.4,18.3,94.33,5.8,1,2,2
