PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,SEASON,PLAYER(season),TEAM(season),OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,Off_kmean,Def_kmean,Ovr_kmean
Blake Griffin,LAC,27,35,22,13,48.9,31.3,12.6,25.2,49.9,0.3,0.8,33.3,5.9,8.1,72.7,2.1,10.1,12.3,7.1,3.5,1.2,0.7,4.0,58.8,13,0,7.5,15-16,Blake Griffin(15-16),LAC(15-16),108.6,101.3,7.3,25.8,2.05,18.0,4.4,19.6,12.2,8.8,50.4,54.4,28.9,98.17,17.1,2,0,0
Rakeem Christmas,IND,24,1,1,0,46.9,30.8,15.4,15.4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,0.0,7.7,0.0,0.0,0.0,0.0,7.7,40.0,0,0,-76.9,15-16,Rakeem Christmas(15-16),IND(15-16),107.7,184.6,-76.9,0.0,0.0,0.0,25.0,0.0,16.7,0.0,100.0,100.0,14.3,102.3,7.6,0,1,1
Brook Lopez,BKN,28,73,21,52,49.8,30.5,12.0,23.5,51.1,0.0,0.3,14.3,6.4,8.2,78.7,4.1,7.5,11.6,3.0,3.6,1.2,2.5,4.4,56.4,26,0,-2.5,15-16,Brook Lopez(15-16),BKN(15-16),103.4,105.8,-2.4,10.6,0.83,8.9,8.6,15.3,12.0,10.6,51.2,56.2,27.2,96.33,12.7,2,0,0
Reggie Jackson,DET,26,79,43,36,49.5,30.4,11.0,25.4,43.4,2.4,6.8,35.3,5.9,6.9,86.4,1.2,4.0,5.2,10.0,4.6,1.2,0.2,3.8,51.4,9,0,2.7,15-16,Reggie Jackson(15-16),DET(15-16),107.3,104.8,2.5,34.4,2.21,23.4,2.2,8.3,5.1,10.6,48.2,53.5,28.3,96.84,13.0,2,0,0
Kobe Bryant,LAL,37,66,13,53,48.8,30.4,10.4,29.1,35.8,3.5,12.2,28.5,6.1,7.4,82.6,1.1,5.4,6.5,4.8,3.4,1.6,0.3,3.0,47.9,2,0,-14.9,15-16,Kobe Bryant(15-16),LAL(15-16),100.1,114.9,-14.8,18.3,1.43,12.0,2.0,11.1,6.3,8.4,41.7,46.9,31.4,98.46,8.9,2,0,0
LaMarcus Aldridge,SAS,30,74,61,13,51.0,30.0,12.1,23.6,51.3,0.0,0.4,0.0,5.8,6.8,85.8,4.0,10.3,14.3,2.5,2.2,0.9,1.8,3.4,56.6,26,0,11.5,15-16,LaMarcus Aldridge(15-16),SAS(15-16),109.6,97.9,11.7,8.1,1.11,7.9,8.4,19.9,14.4,7.1,51.3,56.5,25.8,94.3,15.1,2,1,1
Enes Kanter,OKC,24,82,55,27,49.2,29.7,11.8,20.5,57.6,0.3,0.6,47.6,5.7,7.2,79.7,7.1,11.9,19.0,0.9,3.3,0.7,0.9,4.7,55.6,25,0,3.6,15-16,Enes Kanter(15-16),OKC(15-16),110.3,106.6,3.8,3.2,0.29,3.4,14.5,23.0,18.9,11.8,58.3,62.6,22.9,97.68,16.2,2,1,1
Marreese Speights,GSW,28,72,64,8,48.1,29.6,11.4,26.3,43.2,1.4,3.6,38.7,5.4,6.6,82.5,4.4,9.4,13.8,3.5,3.8,1.1,2.0,6.8,56.8,1,0,0.6,15-16,Marreese Speights(15-16),GSW(15-16),105.2,104.1,1.1,12.6,0.92,9.6,9.2,18.2,13.8,10.4,45.8,50.6,29.3,100.1,10.9,2,0,0
Carl Landry,PHI,32,36,5,31,47.7,29.4,11.7,21.0,55.6,0.5,1.1,46.2,5.6,7.6,73.6,4.1,8.1,12.2,2.7,1.8,1.0,0.8,5.8,51.6,0,0,-9.4,15-16,Carl Landry(15-16),PHI(15-16),102.3,111.6,-9.3,10.2,1.45,9.3,8.1,17.8,12.7,6.4,56.8,60.5,23.6,100.61,13.3,2,0,0
Boban Marjanovic,SAS,27,54,47,7,50.3,29.4,10.4,17.2,60.3,0.0,0.0,0.0,8.6,11.3,76.3,7.2,12.0,19.2,2.1,2.9,1.2,2.3,5.3,63.1,3,0,5.3,15-16,Boban Marjanovic(15-16),SAS(15-16),106.8,102.3,4.5,7.2,0.72,7.7,15.4,24.6,20.1,10.6,60.3,66.2,22.0,95.09,18.1,2,1,1
Kyle Lowry,TOR,30,77,54,23,51.2,29.3,9.2,21.5,42.7,3.8,9.8,38.8,7.1,8.8,81.1,1.0,5.6,6.6,8.9,4.0,2.8,0.6,3.8,56.8,12,1,6.7,15-16,Kyle Lowry(15-16),TOR(15-16),110.8,104.4,6.4,29.3,2.2,23.2,2.0,11.1,6.6,10.6,51.6,57.8,25.6,93.63,14.5,2,0,0
Chris Paul,LAC,31,74,50,24,49.0,29.3,10.4,22.6,46.2,2.5,6.7,37.1,6.0,6.6,89.6,0.8,5.5,6.3,15.0,3.9,3.1,0.3,3.7,65.4,38,0,11.2,15-16,Chris Paul(15-16),LAC(15-16),112.3,101.3,11.0,49.3,3.8,33.8,1.7,10.5,6.3,8.9,51.7,57.5,26.5,97.78,18.4,3,0,0
CJ McCollum,POR,24,80,44,36,48.8,29.3,11.3,25.1,44.8,3.5,8.3,41.7,3.3,4.0,82.7,0.8,3.7,4.6,6.0,3.4,1.7,0.4,3.3,46.6,2,0,2.8,15-16,CJ McCollum(15-16),POR(15-16),107.5,104.9,2.6,21.1,1.74,16.5,1.6,7.5,4.5,9.5,51.7,54.4,26.6,98.18,11.2,2,0,0
Andrew Wiggins,MIN,21,81,29,52,49.4,29.1,10.3,22.5,45.9,1.0,3.3,30.0,7.5,9.8,76.1,1.8,3.2,5.1,2.8,3.2,1.4,0.8,2.9,42.7,1,0,-1.2,15-16,Andrew Wiggins(15-16),MIN(15-16),106.7,107.9,-1.3,9.8,0.9,8.7,3.9,6.6,5.3,9.6,48.1,54.3,26.7,97.09,9.4,2,0,0
Kemba Walker,CHA,26,81,47,34,49.6,29.1,9.8,22.9,42.7,3.1,8.4,37.1,6.4,7.5,84.7,1.0,5.2,6.1,7.2,2.9,2.2,0.7,1.9,52.9,3,0,4.1,15-16,Kemba Walker(15-16),CHA(15-16),107.4,103.6,3.8,25.3,2.46,19.9,1.9,10.2,6.0,8.1,49.5,55.4,26.1,96.57,13.5,2,0,0
Chris Bosh,MIA,32,53,29,24,50.8,28.8,10.2,21.9,46.7,2.3,6.3,36.5,6.1,7.7,79.5,1.4,9.8,11.1,3.7,2.2,1.0,1.0,2.9,51.4,15,0,0.8,15-16,Chris Bosh(15-16),MIA(15-16),101.5,101.0,0.5,12.9,1.64,11.8,2.8,18.8,11.1,7.2,52.0,57.1,24.7,94.41,15.1,2,0,0
Jahlil Okafor,PHI,20,53,6,47,49.4,28.8,12.3,24.2,50.8,0.0,0.2,16.7,4.1,6.0,68.6,3.8,7.8,11.6,2.0,3.8,0.7,1.9,4.3,49.6,11,0,-15.3,15-16,Jahlil Okafor(15-16),PHI(15-16),92.7,108.4,-15.7,8.8,0.52,6.2,7.5,16.0,11.7,11.8,50.9,53.6,27.2,97.08,11.7,2,1,1
Jrue Holiday,NOP,26,65,27,38,48.4,28.8,10.8,24.7,43.9,2.3,6.8,33.6,4.8,5.7,84.3,0.7,4.4,5.2,10.3,4.4,2.3,0.6,3.9,54.8,5,0,0.7,15-16,Jrue Holiday(15-16),NOP(15-16),106.7,106.1,0.6,36.5,2.34,24.6,1.4,9.4,5.3,10.5,48.5,52.9,28.3,99.13,12.9,2,0,0
Nikola Vucevic,ORL,25,65,28,37,49.6,28.8,13.0,25.5,51.0,0.0,0.2,22.2,2.8,3.7,75.3,4.2,9.8,14.0,4.4,3.0,1.3,1.7,4.2,58.1,29,0,-1.1,15-16,Nikola Vucevic(15-16),ORL(15-16),104.9,106.1,-1.2,15.4,1.46,12.7,8.4,20.3,14.2,8.7,51.1,53.1,26.5,96.76,14.0,2,0,0
Dirk Nowitzki,DAL,38,75,38,37,49.4,28.7,10.4,23.2,44.8,2.6,7.1,36.8,5.2,5.9,89.3,1.1,9.1,10.2,2.8,1.8,1.1,1.1,3.4,49.8,10,0,5.3,15-16,Dirk Nowitzki(15-16),DAL(15-16),106.8,102.7,4.2,9.6,1.57,9.1,2.2,18.2,10.3,5.8,50.4,55.5,24.9,96.66,13.4,2,2,2
JJ Redick,LAC,32,75,50,25,48.9,28.6,9.8,20.5,48.0,4.7,9.8,47.5,4.2,4.8,88.8,0.2,3.0,3.2,2.5,1.8,1.0,0.1,3.2,37.7,0,0,11.9,15-16,JJ Redick(15-16),LAC(15-16),112.0,100.5,11.5,8.0,1.36,9.2,0.5,5.7,3.2,6.8,59.3,63.2,22.0,97.91,10.7,2,2,2
Eric Bledsoe,PHX,26,31,12,19,47.8,28.5,10.1,22.2,45.3,2.2,5.8,37.2,6.2,7.8,80.2,0.8,4.8,5.6,8.6,5.0,2.8,0.9,3.4,54.3,3,0,-2.2,15-16,Eric Bledsoe(15-16),PHX(15-16),103.1,104.8,-1.7,29.8,1.73,21.9,1.6,10.0,5.8,12.7,50.2,55.7,27.0,100.74,13.9,2,0,0
Karl-Anthony Towns,MIN,20,82,29,53,49.5,28.3,11.8,21.7,54.2,0.6,1.7,34.1,4.2,5.2,81.1,4.3,11.8,16.2,3.0,3.4,1.1,2.6,4.6,59.9,52,0,-2.5,15-16,Karl-Anthony Towns(15-16),MIN(15-16),106.8,109.3,-2.5,10.8,0.88,10.0,9.2,24.2,16.9,11.4,55.5,59.0,24.3,97.06,15.4,2,0,0
Gordon Hayward,UTA,26,80,38,42,51.7,28.2,9.3,21.5,43.3,2.6,7.3,34.9,7.0,8.5,82.4,1.1,6.0,7.1,5.3,3.6,1.7,0.5,3.3,47.5,4,0,1.7,15-16,Gordon Hayward(15-16),UTA(15-16),105.2,103.6,1.6,18.1,1.47,15.6,2.2,12.1,7.1,10.6,49.3,55.9,25.0,92.88,12.6,2,0,0
Jimmy Butler,CHI,26,67,37,30,49.7,28.1,9.4,20.8,45.4,1.3,4.1,31.2,7.9,9.5,83.2,1.6,5.6,7.2,6.5,2.7,2.2,0.9,2.5,53.0,10,2,-0.2,15-16,Jimmy Butler(15-16),CHI(15-16),104.2,104.5,-0.3,21.8,2.43,18.9,3.1,10.3,6.8,7.8,48.5,56.2,24.2,96.53,14.1,2,0,0
Danilo Gallinari,DEN,27,53,22,31,49.3,27.8,7.7,18.8,41.0,2.3,6.4,36.4,10.1,11.6,86.8,1.4,6.1,7.5,3.6,2.1,1.1,0.5,2.3,45.1,3,0,-2.7,15-16,Danilo Gallinari(15-16),DEN(15-16),105.0,107.8,-2.8,12.2,1.75,12.2,2.7,12.7,7.5,7.0,47.2,58.2,22.6,97.26,12.4,2,0,0
Sean Kilpatrick,BKN,26,31,7,24,48.6,27.2,9.7,21.3,45.6,3.1,9.0,34.2,4.7,5.3,89.6,0.9,3.5,4.4,2.3,2.4,0.9,0.2,2.9,36.8,0,0,-11.5,15-16,Sean Kilpatrick(15-16),BKN(15-16),106.0,117.0,-11.0,7.8,0.94,8.1,1.8,7.4,4.5,8.6,52.8,57.6,22.7,99.01,8.7,2,2,2
Mirza Teletovic,PHX,30,79,23,56,47.2,27.0,9.3,21.7,42.7,5.1,12.9,39.3,3.4,4.3,77.4,1.5,6.9,8.5,2.5,2.4,0.9,0.6,4.5,43.0,2,0,-4.8,15-16,Mirza Teletovic(15-16),PHX(15-16),103.9,108.4,-4.6,8.8,1.06,8.7,3.0,14.6,8.6,8.2,54.4,57.1,22.9,101.84,10.5,1,2,2
Ryan Anderson,NOP,28,66,24,42,48.2,27.0,9.5,22.3,42.7,3.1,8.6,36.6,4.8,5.5,87.3,3.1,6.4,9.5,1.8,2.2,0.9,0.6,2.6,43.4,8,0,0.7,15-16,Ryan Anderson(15-16),NOP(15-16),107.1,106.9,0.2,5.9,0.81,6.1,6.2,13.6,9.7,7.6,49.8,54.6,23.8,99.3,10.9,2,2,2
Bradley Beal,WAS,23,55,28,27,47.9,26.8,10.1,22.4,44.9,2.9,7.6,38.7,3.8,4.9,76.7,1.1,4.1,5.3,4.5,3.1,1.5,0.3,3.3,42.3,0,0,-0.7,15-16,Bradley Beal(15-16),WAS(15-16),104.8,105.0,-0.2,15.3,1.45,14.2,2.4,8.8,5.5,9.8,51.5,54.7,24.5,100.54,9.9,2,0,0
Dennis Schroder,ATL,22,80,47,33,49.2,26.7,10.0,23.7,42.1,2.3,7.3,32.2,4.4,5.5,79.1,0.8,5.4,6.2,10.6,5.6,2.1,0.3,4.2,51.6,2,0,6.8,15-16,Dennis Schroder(15-16),ATL(15-16),103.4,95.9,7.5,36.8,1.91,25.1,1.6,10.6,6.2,13.1,47.1,51.0,28.6,97.93,12.1,3,0,0
John Wall,WAS,25,77,37,40,48.3,26.6,9.9,23.4,42.4,2.0,5.7,35.1,4.7,6.0,79.1,0.7,5.8,6.6,13.7,5.5,2.5,1.0,2.8,60.1,49,4,1.8,15-16,John Wall(15-16),WAS(15-16),105.8,104.1,1.7,44.9,2.48,30.4,1.5,12.2,6.8,12.3,46.7,51.0,28.0,99.33,14.4,3,0,0
Derrick Favors,UTA,24,62,30,32,51.8,26.5,10.9,21.2,51.5,0.0,0.1,0.0,4.7,6.6,70.9,4.4,8.7,13.1,2.5,2.7,1.9,2.4,3.9,56.2,19,0,2.5,15-16,Derrick Favors(15-16),UTA(15-16),105.6,103.2,2.3,8.6,0.9,8.4,8.9,18.0,13.4,9.3,51.5,55.1,23.4,92.54,14.0,2,1,1
Jeff Teague,ATL,28,79,47,32,48.2,26.5,9.3,21.1,43.9,2.4,5.9,40.1,5.6,6.7,83.7,0.7,3.9,4.6,10.1,4.7,2.1,0.5,3.6,50.2,4,0,1.4,15-16,Jeff Teague(15-16),ATL(15-16),103.2,102.1,1.1,34.1,2.16,26.0,1.4,7.4,4.5,12.1,49.5,55.1,25.9,99.36,11.9,3,0,0
Zach Randolph,MEM,34,68,37,31,51.3,26.4,11.0,23.1,47.5,0.2,0.7,23.1,4.4,5.5,79.6,4.6,8.9,13.5,3.6,2.7,1.1,0.3,3.7,49.6,17,1,-0.3,15-16,Zach Randolph(15-16),MEM(15-16),105.9,106.9,-1.1,12.5,1.35,11.3,8.8,18.7,13.6,8.4,47.9,51.9,24.7,93.26,13.0,2,0,0
Lou Williams,LAL,29,67,14,53,48.9,26.3,7.3,17.8,40.8,2.8,8.2,34.4,9.0,10.9,83.0,0.8,3.5,4.3,4.3,2.7,1.6,0.5,2.7,41.4,0,0,-10.2,15-16,Lou Williams(15-16),LAL(15-16),100.9,111.0,-10.2,14.9,1.56,14.6,1.5,7.2,4.3,9.4,48.8,58.4,22.1,98.26,10.4,2,0,0
Greg Monroe,MIL,26,79,32,47,50.1,26.2,10.6,20.4,52.2,0.0,0.0,0.0,4.9,6.7,74.0,4.7,10.4,15.1,3.9,2.8,1.6,1.5,3.5,56.3,32,0,-2.4,15-16,Greg Monroe(15-16),MIL(15-16),105.8,108.2,-2.4,12.8,1.38,12.9,9.9,21.5,15.7,9.3,52.2,56.2,23.1,95.73,14.6,2,1,1
Alec Burks,UTA,24,31,13,18,50.5,26.1,8.7,21.2,41.0,2.0,5.0,40.5,6.7,8.9,75.2,1.0,5.9,6.9,4.0,3.2,1.1,0.3,4.5,41.3,0,0,-0.8,15-16,Alec Burks(15-16),UTA(15-16),101.8,101.4,0.5,14.0,1.24,12.4,1.9,12.1,6.9,10.0,45.8,52.0,24.6,95.61,9.9,2,0,0
Brandon Knight,PHX,24,52,16,36,48.0,26.1,9.5,22.9,41.5,3.1,9.0,34.2,4.0,4.7,85.2,0.9,4.3,5.2,6.7,4.5,1.6,0.5,3.2,44.1,4,1,-5.4,15-16,Brandon Knight(15-16),PHX(15-16),102.0,107.4,-5.5,23.4,1.49,18.6,1.8,9.0,5.3,12.5,48.2,52.2,25.8,100.05,10.1,2,0,0
Kevin Love,CLE,27,77,53,24,51.1,26.0,8.6,20.6,41.9,3.3,9.3,36.0,5.4,6.6,82.2,3.1,12.9,16.1,3.9,3.0,1.2,0.9,3.4,54.4,35,0,9.0,15-16,Kevin Love(15-16),CLE(15-16),112.4,103.6,8.8,11.9,1.3,12.8,6.4,25.8,16.2,9.8,49.9,55.3,23.3,93.82,14.3,2,0,0
Derrick Williams,NYK,25,80,32,48,49.9,25.9,8.8,19.6,45.0,1.5,5.2,29.3,6.7,8.9,75.8,1.6,8.7,10.3,2.6,2.1,1.0,0.3,2.4,44.0,4,0,-7.1,15-16,Derrick Williams(15-16),NYK(15-16),98.9,105.9,-7.0,9.6,1.23,9.2,3.2,16.9,10.0,7.5,48.8,55.0,23.0,96.31,12.7,2,0,0
Jordan McRae,CLE,25,22,10,12,51.2,25.8,8.9,20.4,43.6,2.6,5.7,45.5,5.5,7.3,75.0,1.0,4.2,5.2,6.5,3.9,0.8,0.3,4.4,41.1,0,0,11.5,15-16,Jordan McRae(15-16),CLE(15-16),107.0,94.3,12.7,21.6,1.67,19.2,2.1,7.5,5.0,11.5,50.0,54.8,24.4,94.43,9.6,2,0,0
Paul Millsap,ATL,31,81,48,33,48.8,25.5,9.2,19.6,47.0,1.4,4.3,31.9,5.7,7.5,75.7,3.6,9.8,13.5,4.9,3.5,2.7,2.6,4.4,61.3,32,0,4.0,15-16,Paul Millsap(15-16),ATL(15-16),105.6,101.6,4.0,16.2,1.39,15.5,7.5,18.9,13.4,11.2,50.5,55.6,23.8,98.39,14.1,2,0,0
Pau Gasol,CHI,35,72,36,36,49.2,25.5,10.0,21.4,46.9,0.5,1.5,34.8,4.9,6.2,79.2,3.3,13.7,17.0,6.3,3.5,0.9,3.1,3.2,64.0,46,2,-0.1,15-16,Pau Gasol(15-16),CHI(15-16),104.2,104.4,-0.2,21.5,1.79,18.6,6.5,24.9,16.1,10.4,48.1,52.9,24.4,97.47,16.5,2,0,0
Trey Burke,UTA,23,64,31,33,51.2,25.5,9.8,23.8,41.3,3.3,9.6,34.4,2.5,3.1,81.7,0.7,3.5,4.2,5.6,3.0,1.3,0.2,3.2,40.5,0,0,0.0,15-16,Trey Burke(15-16),UTA(15-16),102.3,102.6,-0.4,20.1,1.85,16.6,1.3,7.0,4.1,8.9,48.3,50.7,24.2,93.52,9.9,1,0,0
Jamal Crawford,LAC,36,79,51,28,48.3,25.4,8.6,21.3,40.4,2.7,7.8,34.0,5.6,6.2,90.4,0.5,2.8,3.3,4.2,2.6,1.2,0.3,2.8,37.4,0,0,3.8,15-16,Jamal Crawford(15-16),LAC(15-16),104.8,102.8,2.0,14.5,1.62,13.6,0.9,5.8,3.4,8.4,46.6,52.9,23.9,98.45,9.5,2,0,0
Kristaps Porzingis,NYK,20,72,28,44,50.6,25.4,9.2,21.9,42.1,2.0,6.0,33.3,5.0,5.9,83.8,3.3,9.7,13.0,2.3,3.0,1.3,3.3,5.1,55.3,21,0,0.3,15-16,Kristaps Porzingis(15-16),NYK(15-16),104.6,104.3,0.3,7.6,0.78,7.7,6.3,18.4,12.4,10.0,46.7,51.8,24.3,94.93,11.3,2,2,2
Al Jefferson,CHA,31,47,33,14,49.5,25.3,11.1,22.8,48.5,0.0,0.0,0.0,3.2,5.0,64.9,2.6,11.0,13.6,3.2,1.5,1.4,1.8,5.3,54.5,7,0,2.1,15-16,Al Jefferson(15-16),CHA(15-16),103.2,100.7,2.5,11.4,2.06,10.7,5.0,21.6,13.3,5.2,48.5,50.7,24.0,97.27,12.4,2,1,1
Derrick Rose,CHI,27,66,32,34,49.1,25.3,10.5,24.5,42.7,1.0,3.5,29.3,3.3,4.2,79.3,1.1,4.2,5.3,7.3,4.1,1.0,0.3,2.0,42.5,1,0,-3.9,15-16,Derrick Rose(15-16),CHI(15-16),103.1,106.9,-3.8,25.0,1.78,19.3,2.1,7.8,5.0,10.9,44.8,47.9,26.6,97.9,9.4,2,0,0
Shabazz Muhammad,MIN,23,82,29,53,49.1,25.2,9.3,19.9,46.5,1.3,4.4,28.9,5.4,7.1,76.4,2.9,4.9,7.8,1.5,2.0,0.7,0.2,2.7,37.5,0,0,-7.8,15-16,Shabazz Muhammad(15-16),MIN(15-16),101.3,109.1,-7.8,5.5,0.74,5.7,6.2,10.2,8.2,7.7,49.8,54.8,22.2,97.71,9.8,2,1,1
Tyreke Evans,NOP,26,25,11,14,50.8,25.2,9.0,20.8,43.3,2.2,5.6,38.8,4.9,6.2,79.6,1.3,7.2,8.6,10.9,4.8,2.1,0.5,4.4,54.9,6,0,-0.9,15-16,Tyreke Evans(15-16),NOP(15-16),105.6,105.9,-0.3,36.6,2.25,27.6,2.6,14.2,8.4,12.3,48.6,53.4,25.4,94.73,13.1,3,0,0
Khris Middleton,MIL,24,79,33,46,49.8,25.0,8.9,19.9,44.4,2.5,6.3,39.6,4.8,5.4,88.8,0.8,4.5,5.3,5.8,3.1,2.3,0.3,3.6,44.8,1,0,-0.6,15-16,Khris Middleton(15-16),MIL(15-16),105.6,106.4,-0.8,18.3,1.84,18.6,1.6,9.1,5.4,10.1,50.7,56.0,22.4,96.27,10.8,2,0,0
Jodie Meeks,DET,28,3,3,0,49.4,25.0,8.0,22.7,35.0,4.5,10.2,44.4,4.5,4.5,100.0,1.1,4.5,5.7,3.4,1.1,0.0,0.0,2.3,35.8,0,0,10.2,15-16,Jodie Meeks(15-16),DET(15-16),96.6,92.7,3.9,14.3,3.0,11.5,2.2,8.9,5.6,3.8,45.0,50.6,23.2,93.82,10.3,1,2,2
Jonas Valanciunas,TOR,24,60,40,20,50.7,25.0,9.9,17.4,56.5,0.0,0.0,0.0,5.3,6.9,76.1,6.0,11.8,17.8,1.4,2.8,0.8,2.6,5.1,55.9,22,0,4.8,15-16,Jonas Valanciunas(15-16),TOR(15-16),110.8,107.1,3.7,4.5,0.49,5.5,12.5,24.5,18.5,11.2,56.5,61.0,20.4,94.28,14.2,0,1,1
Hassan Whiteside,MIA,27,73,42,31,51.0,25.0,9.9,16.4,60.6,0.0,0.0,0.0,5.1,7.9,65.0,5.7,15.1,20.8,0.7,3.3,1.1,6.5,4.8,70.2,41,3,2.1,15-16,Hassan Whiteside(15-16),MIA(15-16),105.5,103.5,1.9,2.2,0.21,2.9,11.6,28.2,20.2,13.9,60.6,62.9,20.1,93.99,17.2,0,1,1
Marcus Thornton,WAS,29,61,32,29,46.9,25.0,9.1,22.9,39.9,3.9,11.4,33.7,2.8,3.3,84.8,1.6,4.7,6.3,3.6,2.2,2.0,0.2,3.8,42.2,0,0,1.8,15-16,Marcus Thornton(15-16),WAS(15-16),104.8,104.0,0.8,12.5,1.65,11.8,3.2,9.9,6.5,7.2,48.2,51.1,23.5,101.86,9.1,1,2,2
Mike Conley,MEM,28,56,33,23,51.0,24.8,8.5,20.2,42.2,2.3,6.2,36.3,5.5,6.6,83.4,0.8,4.0,4.8,9.9,2.4,1.9,0.5,2.9,50.2,4,0,1.9,15-16,Mike Conley(15-16),MEM(15-16),105.7,104.5,1.2,32.4,4.07,28.1,1.5,8.2,4.8,6.9,47.8,53.8,22.5,93.74,12.9,3,0,0
Marc Gasol,MEM,31,52,30,22,51.4,24.7,9.4,20.3,46.4,0.1,0.1,66.7,5.8,7.0,82.9,1.7,8.7,10.4,5.6,3.4,1.4,2.0,4.0,52.5,9,1,0.3,15-16,Marc Gasol(15-16),MEM(15-16),104.1,103.9,0.1,19.5,1.66,17.3,3.3,17.9,10.4,10.4,46.5,52.8,23.7,93.37,13.0,2,0,0
Will Barton,DEN,25,82,33,49,49.3,24.7,8.9,20.6,43.2,2.3,6.8,34.5,4.5,5.6,80.6,1.2,8.7,10.0,4.2,2.9,1.5,0.8,3.1,47.0,6,0,-2.7,15-16,Will Barton(15-16),DEN(15-16),103.7,106.8,-3.1,14.7,1.46,14.1,2.4,17.7,9.9,9.7,48.9,53.5,22.6,97.27,12.5,2,0,0
Andre Drummond,DET,22,81,43,38,50.0,24.6,10.3,19.9,52.1,0.0,0.1,33.3,3.9,11.0,35.5,7.4,15.0,22.5,1.3,2.9,2.2,2.1,4.6,63.5,66,0,2.4,15-16,Andre Drummond(15-16),DET(15-16),105.9,103.6,2.4,4.2,0.43,4.3,13.5,30.9,21.7,10.0,52.2,49.9,23.9,96.09,14.0,2,1,1
CJ Miles,IND,29,64,34,30,47.6,24.5,8.4,20.6,40.9,4.6,12.6,36.7,3.0,4.0,75.0,0.8,4.9,5.7,2.0,2.3,1.7,0.9,4.6,40.1,0,0,0.1,15-16,CJ Miles(15-16),IND(15-16),102.7,102.5,0.2,6.9,0.9,7.7,1.7,9.9,5.8,8.5,52.1,54.7,22.1,100.95,8.2,1,2,2
Zach LaVine,MIN,21,82,29,53,48.7,24.4,9.2,20.4,45.2,2.6,6.7,38.9,3.4,4.3,79.3,0.6,4.3,4.8,5.3,3.3,1.5,0.4,4.1,40.4,0,0,-6.2,15-16,Zach LaVine(15-16),MIN(15-16),104.2,110.4,-6.2,18.7,1.62,17.3,1.2,8.9,5.1,10.7,51.6,54.8,22.8,98.5,9.1,2,0,0
Kenneth Faried,DEN,26,67,26,41,49.5,24.4,10.2,18.3,55.8,0.0,0.1,50.0,4.0,6.5,61.3,6.9,10.1,17.0,2.3,2.7,0.9,1.8,4.9,53.6,21,0,-3.2,15-16,Kenneth Faried(15-16),DEN(15-16),106.5,110.0,-3.5,7.7,0.87,8.9,13.2,21.0,17.0,10.2,55.8,57.7,20.3,96.9,12.6,2,1,1
Troy Daniels,CHA,24,43,25,18,47.9,24.3,8.9,18.8,47.6,5.9,12.3,48.4,0.5,0.9,55.6,0.7,5.0,5.7,2.1,2.4,1.1,0.3,4.0,36.2,0,0,-4.3,15-16,Troy Daniels(15-16),CHA(15-16),100.1,105.2,-5.1,8.3,0.88,8.9,1.4,10.3,5.7,10.2,63.4,63.4,19.5,99.93,9.8,1,2,2
Tyler Zeller,BOS,26,60,38,22,47.1,24.1,9.2,19.2,47.6,0.0,0.0,0.0,5.8,7.2,81.5,4.1,7.7,11.8,1.9,3.1,0.7,1.5,6.4,44.5,1,0,-4.3,15-16,Tyler Zeller(15-16),BOS(15-16),98.0,102.3,-4.3,7.3,0.63,7.0,8.0,14.8,11.4,11.1,47.6,53.9,22.5,101.96,10.2,0,1,1
James Ennis III,NOP,25,22,11,11,49.9,24.1,8.2,17.1,47.8,3.9,8.8,44.8,3.8,5.2,73.5,3.2,3.2,6.4,3.2,2.9,2.4,0.8,4.2,43.2,0,0,-6.8,15-16,James Ennis III(15-16),NOP(15-16),104.7,110.5,-5.8,10.4,1.11,12.4,6.6,6.9,6.7,11.2,59.3,62.1,19.6,96.73,9.2,1,2,2
Rudy Gay,SAC,29,70,29,41,47.5,24.1,9.3,20.1,46.3,1.5,4.3,34.4,4.0,5.1,78.0,2.1,7.1,9.1,2.4,2.8,2.0,1.0,3.7,44.9,7,0,-1.6,15-16,Rudy Gay(15-16),SAC(15-16),105.5,107.0,-1.5,7.8,0.86,8.8,4.3,14.5,9.4,10.1,50.0,53.8,22.2,101.1,10.1,2,2,2
Giannis Antetokounmpo,MIL,21,80,32,48,50.2,24.0,9.1,18.0,50.6,0.5,1.9,25.7,5.3,7.3,72.4,2.0,8.9,10.9,6.1,3.7,1.7,2.0,4.6,53.6,21,5,-3.0,15-16,Giannis Antetokounmpo(15-16),MIL(15-16),104.8,107.9,-3.1,19.5,1.66,19.7,4.2,18.0,11.2,11.9,52.0,56.6,22.1,95.64,12.8,2,0,0
